gene_symbol	Clock	n_DMRs	min_FDR	mean_abs_delta	Hyper_regions	Hypo_regions	Rank
RIMBP2, RP11-662M24.2	Hannum	3	3.25438086056125e-05	0.000628414563811107	0	3	314
RAP1GAP2	Hannum	3	3.43644344619201e-05	0.000533730760814747	0	3	315
SLC9A3	Hannum	3	3.88803295814199e-05	0.000569296946144782	0	3	316
SORCS2	Hannum	3	3.90998713213127e-05	0.00087305371429003	0	3	317
SETD1A	Hannum	3	3.9914935117916e-05	0.000437935651771464	0	3	318
DCUN1D2	Hannum	3	4.08291470097601e-05	0.000422192966627128	0	3	319
MYO10	Hannum	3	4.43292085361563e-05	0.000518844026207161	0	3	320
NTM	Hannum	3	5.04501629218896e-05	0.000581680108009189	0	3	321
BCL7A	Hannum	3	5.23976007744753e-05	0.000462082976406023	0	3	322
DDR1	Hannum	3	5.26147893011211e-05	0.000532467274114316	0	3	323
AC144450.1	Hannum	3	5.40618103844208e-05	0.000842444186452781	0	3	324
CYB5D2, ANKFY1	Hannum	3	5.88200585925209e-05	0.00104296395429333	1	2	325
TECTA	Hannum	3	6.09784324178924e-05	0.000477058144622857	0	3	326
SLC20A2	Hannum	3	6.20964399433539e-05	0.000426801037347594	0	3	327
SHC2	Hannum	3	6.24536352638454e-05	0.000561157792336829	0	3	328
ABCA3	Hannum	3	6.34871355389589e-05	0.000419165514684557	0	3	329
ESPN	Hannum	3	6.47692930837492e-05	0.000706237627469583	0	3	330
PLEKHG4B	Hannum	3	6.76492104717884e-05	0.000616720301631499	0	3	331
LLGL2	Hannum	3	7.04334943608068e-05	0.000452725233598451	0	3	332
SGSH	Hannum	3	7.43603355652672e-05	0.000372922191095223	0	3	333
SFSWAP	Hannum	3	7.51634728325713e-05	0.000414469741467924	0	3	334
IGF2R	Hannum	3	7.63673253637805e-05	0.000460586674244134	0	3	335
SYNPO	Hannum	3	7.75248278070053e-05	0.000787014552823426	0	3	336
WIPI2	Hannum	3	7.85653839172813e-05	0.000745153453938031	1	2	337
FRMD1	Hannum	3	7.93749106072069e-05	0.000412876620765033	0	3	338
SYNE2, ESR2	Hannum	3	7.93749106072069e-05	0.00052479727018978	0	3	339
POLR3E	Hannum	3	7.94378940519754e-05	0.000384327387583826	0	3	340
RP11-111A22.1	Hannum	3	8.24539771301137e-05	0.000957671504120734	0	3	341
CPT1A	Hannum	3	8.34349621822721e-05	0.000292961107922908	1	2	342
EIF2B5, EPHB3	Hannum	3	8.70737307585485e-05	0.000627309772059377	0	3	343
IRS2	Hannum	3	8.78299644839241e-05	0.00135950651239874	0	3	344
IGF1R	Hannum	3	9.39511211029538e-05	0.00116056105433755	0	3	345
CPNE7	Hannum	3	9.60991024814807e-05	0.000617054943478507	0	3	346
MMP17	Hannum	3	9.70648626285401e-05	0.000332730489549445	1	2	347
SH2D4B	Hannum	3	9.76683873069543e-05	0.000531981487456846	0	3	348
KIF1A	Hannum	3	9.80866125337925e-05	0.000478203068638076	0	3	349
TMEM179	Hannum	3	9.91114590988117e-05	0.00117553169521053	1	2	350
PRKCA	Hannum	3	9.94817874313969e-05	0.000799736551254422	1	2	351
SH3BP4	Hannum	3	0.000100232474485011	0.000309262989378797	0	3	352
IL17D	Hannum	3	0.00010267306888127	0.000638349726214726	0	3	353
TBC1D3C, TBC1D3H	Hannum	3	0.000103476240822314	0.00121692418860743	0	3	354
RP5-1142A6.2, PIEZO1	Hannum	3	0.000103941800026519	0.000499056867971388	0	3	355
