gene_symbol	Clock	n_DMRs	min_FDR	mean_abs_delta	Hyper_regions	Hypo_regions	Rank
TUBGCP2	DunedinPACE	3	2.57934095848239e-07	0.0169204634367408	1	2	288
EIF2B5, EIF4G1	DunedinPACE	3	2.76486102552846e-07	0.0259747291547835	0	3	289
BDH1	DunedinPACE	3	3.08817375148994e-07	0.0714487687939231	0	3	290
GIPR	DunedinPACE	3	3.11550982418194e-07	0.0257274078950669	0	3	291
ACTB	DunedinPACE	3	3.12806492980109e-07	0.0305529583731926	0	3	292
TGIF1	DunedinPACE	3	3.21621650582198e-07	0.0237747192128194	0	3	293
TLDC1	DunedinPACE	3	3.57475915907171e-07	0.0651654271686327	1	2	294
CCDC40	DunedinPACE	3	3.95468511230016e-07	0.0194970296058585	0	3	295
SYNJ2	DunedinPACE	3	5.08297276109639e-07	0.0472490696375917	0	3	296
AP2A2	DunedinPACE	3	5.52397794186947e-07	0.0348979850091554	0	3	297
TNFRSF8	DunedinPACE	3	5.7454744362093e-07	0.0511807238816434	1	2	298
RIN2	DunedinPACE	3	6.60581029965635e-07	0.0418816606491112	0	3	299
C1orf222	DunedinPACE	3	7.8820304499906e-07	0.0283804551857011	0	3	300
PACS2	DunedinPACE	3	8.86645229787724e-07	0.0224878821908916	1	2	301
DOK1, LOXL3	DunedinPACE	3	9.31816701242825e-07	0.0389105811731209	0	3	302
TENM4	DunedinPACE	3	9.80232987434543e-07	0.0290985179587902	1	2	303
SLC7A5	DunedinPACE	3	1.27589810905658e-06	0.0287374796267527	1	2	304
DLX4	DunedinPACE	3	1.33256910606293e-06	0.0274866257501966	0	3	305
GRIN2D	DunedinPACE	3	1.41712928922891e-06	0.0320511714851705	0	3	306
RUNX1T1	DunedinPACE	3	1.43407540791414e-06	0.0204717690276905	0	3	307
FIP1L1, PDGFRA	DunedinPACE	3	1.55076839915598e-06	0.0448203014169699	0	3	308
FRMD1	DunedinPACE	3	2.42952164641696e-06	0.0195924412778002	0	3	309
SYNGAP1	DunedinPACE	3	2.45625312138284e-06	0.0333757770532338	0	3	310
MUM1	DunedinPACE	3	2.96901459217764e-06	0.0347934217722323	0	3	311
FAM20C	DunedinPACE	3	3.29708554460249e-06	0.060258017358389	1	2	312
ARAP1	DunedinPACE	3	4.87555317826047e-06	0.0200948343652182	0	3	313
