outcome,build,nsnp,beta,se,pval,fdr
F9_P00740_OID20349_v1_Cardiometabolic,GRCh37,84,0.0182935236828744,0.00924725511901249,0.0478987884286334,0.0539222555581739
SCT_P09683_OID30951_v1_Neurology_II,GRCh37,84,0.0188077041851754,0.00954212424198971,0.0487217504996481,0.0548232684193628
SUSD4_Q5VX71_OID31398_v1_Oncology_II,GRCh37,84,0.0176128897436031,0.00895702806389116,0.0492551327278817,0.0553977524329351
SAG_P10523_OID30874_v1_Neurology_II,GRCh37,84,0.018852784217183,0.00962348946932591,0.0501083044298903,0.0563312078530648
HS3ST3B1_Q9Y662_OID21303_v1_Oncology,GRCh37,84,-0.0183512045156409,0.00938606412169437,0.0505648495949355,0.0568181218699923
SELP_P16109_OID20379_v1_Cardiometabolic,GRCh37,84,-0.0178050798646668,0.00910935801741775,0.0506312261144971,0.0568663678489676
SOX2_P48431_OID30981_v1_Neurology_II,GRCh37,84,0.018545683792463,0.00950119577618786,0.0509463319707145,0.0571937997968317
SNX2_O60749_OID31374_v1_Oncology_II,GRCh37,84,0.0182664988725429,0.00940212651024059,0.052039717423146,0.0583942435099686
ZFYVE19_Q96K21_OID31452_v1_Oncology_II,GRCh37,84,-0.0175477259974236,0.00909051218329008,0.0535654498087543,0.0600784934054729
NFYA_P23511_OID30134_v1_Cardiometabolic_II,GRCh37,84,0.0182705379214308,0.00951668321417847,0.0548777299793966,0.0615218913724659
FABP5_Q01469_OID21043_v1_Neurology,GRCh37,84,-0.0178156813361571,0.00932497488101035,0.0560644961066973,0.0628233106488904
PALM2_Q8IXS6_OID31096_v1_Neurology_II,GRCh37,84,-0.0169955165359377,0.00892726186048186,0.0569392225040524,0.0637740322229137
FGFBP3_Q8TAT2_OID31108_v1_Neurology_II,GRCh37,84,0.0164923405446069,0.00866720005317398,0.0570607393885073,0.0638806431732897
PLPBP_O94903_OID20144_v1_Cardiometabolic,GRCh37,84,-0.0175817928766675,0.00925078453574283,0.0573579427353455,0.0641837495737768
GLYR1_Q49A26_OID31364_v1_Oncology_II,GRCh37,84,-0.0178763844706025,0.00941814456857923,0.0576856474464247,0.064520691887979
TDP1_Q9NUW8_OID31403_v1_Oncology_II,GRCh37,84,0.0176386447250339,0.009328848807068,0.0586559515859284,0.0655757320495218
PLSCR3_Q9NRY6_OID31146_v1_Neurology_II,GRCh37,84,-0.0175518834676061,0.00933081838055468,0.0599629667153331,0.067006060456655
GNPDA2_Q8TDQ7_OID30597_v1_Inflammation_II,GRCh37,84,0.017266422484912,0.00918318827388385,0.0600779788838257,0.0671036725470356
GRIN2B_Q13224_OID30802_v1_Neurology_II,GRCh37,84,-0.0180528664161322,0.00961750937670258,0.0605066753489105,0.0675514010107947
DYNLT1_P63172_OID30925_v1_Neurology_II,GRCh37,84,0.0150772711768992,0.00812084218693476,0.0633660577146478,0.0707111573209455
PSG1_P11464_OID20916_v1_Neurology,GRCh37,84,-0.0137211969556153,0.00739597025373876,0.0635639478746692,0.0708993735834242
IL22RA1_Q8N6P7_OID20449_v1_Inflammation,GRCh37,84,-0.0172184387056332,0.00933455347761189,0.0650969734200036,0.0725759455500592
GZMA_P12544_OID20663_v1_Inflammation,GRCh37,84,0.0165734987894059,0.00902536952850907,0.0663098159020965,0.0738941724292541
GAL_P22466_OID20727_v1_Inflammation,GRCh37,84,0.0159677059827365,0.00873442564237625,0.0675293489170727,0.0752186411720929
INSL4_Q14641_OID31370_v1_Oncology_II,GRCh37,84,0.0170152234565725,0.00933347076588722,0.068298421436786,0.0760403719163116
RWDD1_Q9H446_OID21015_v1_Neurology,GRCh37,84,-0.0167993379998636,0.00921910353313318,0.068419913935983,0.0761406932149976
CES1_P23141_OID20244_v1_Cardiometabolic,GRCh37,84,0.0154355043250146,0.00848315116942274,0.0688278023916094,0.0765594904181772
OTUD7B_Q6GQQ9_OID31064_v1_Neurology_II,GRCh37,84,-0.0168608563047904,0.00929864082624366,0.0697916825022628,0.0775960686299219
