gene_symbol	MTI_continuous	GNN_EXERCISE_SUP_MTI_MULTI_pred	GNN_EXERCISE_SUP_MTI_MULTI_multi_prob	GNN_EXERCISE_SUP_MTI_MULTI_rank_MTIonly	GNN_EXERCISE_SUP_MTI_MULTI_rank_MTIonly_scaled	GNN_EXERCISE_SUP_MTI_MULTI_hybrid_score	GNN_EXERCISE_SUP_MTI_MULTI_rank	GNN_EXERCISE_SUP_MTI_MULTI_rank_scaled	MR_nominal_any
PENK	5.38628216376436	1.1483188	0.14082167	719	0.7620152469340404	0.8511776	624	0.7935034802784223	True
CTRL	2.07967736781759	2.9643044	0.07387934	435	0.8561484918793504	0.8509766	625	0.7931720251905867	True
LTO1	2.36158765652123	2.680166	0.08370856	474	0.843221743453762	0.8470203	626	0.7928405701027511	True
TXNL1	2.57912976937514	2.9189944	0.07442614	443	0.8534968511766655	0.8440348	627	0.7925091150149155	True
PSMD5	0.778681205096694	3.094059	0.06686455	415	0.8627775936360623	0.83716303	628	0.7921776599270799	True
CPA1	1.91147303877896	2.7825081	0.07719039	462	0.8471992045077892	0.83003235	630	0.7915147497514087	True
RPL14	0.467787461291923	2.1589053	0.1001098	549	0.8183626118660922	0.8296788	631	0.7911832946635731	True
PRUNE2	2.4058925082568	2.6941583	0.079306625	471	0.8442161087172688	0.82298946	632	0.7908518395757375	True
CRTAC1	0.246226169344255	1.4691424	0.124355495	672	0.7775936360623136	0.8224532	634	0.7901889294000662	True
CORO6	1.86112124997161	2.6422737	0.08062836	480	0.8412330129267485	0.81934166	635	0.7898574743122307	True
VEGFC	1.18412044254254	2.5518255	0.083420806	490	0.8379184620483925	0.81600195	636	0.7895260192243951	True
IGBP1	1.70720807129319	2.555813	0.0832703	488	0.8385813722240636	0.81597984	637	0.7891945641365595	True
GPR15L	2.24481259344047	2.8108454	0.07377311	457	0.8488564799469672	0.81535804	638	0.7888631090487239	True
IMPACT	2.12953556946617	2.3788085	0.08948399	516	0.8293006297646669	0.8140751	639	0.7885316539608883	True
PRTG	-10.5676442430541	-1.3069676	0.22509818	1411	0.5326483261518065	0.81291354	640	0.7882001988730527	True
CRELD1	1.43857995356222	1.9448057	0.10505014	575	0.8097447795823666	0.8114495	641	0.7878687437852171	True
