gene_symbol	Clock	n_DMRs	min_FDR	mean_abs_delta	Hyper_regions	Hypo_regions	Rank
SVIL	Horvath	3	0.000257184951829754	0.000430559507806768	0	3	259
XXYLT1	Horvath	3	0.000269342886641769	0.000400319931729642	0	3	260
MYO7B	Horvath	3	0.000271758092756426	0.000488798789335304	0	3	261
MYT1	Horvath	3	0.0002727786665826	0.000379443715151392	0	3	262
PMEPA1	Horvath	3	0.000275680807671397	0.000424991924239347	0	3	263
ZFYVE28	Horvath	3	0.000275680807671397	0.000352739047179757	0	3	264
RBM19	Horvath	3	0.000279227488692703	0.000280649776383596	1	2	265
NOTCH4	Horvath	3	0.000281324358543324	0.000396396495504372	0	3	266
ZCCHC14	Horvath	3	0.00031494170490029	0.000454617637235515	0	3	267
RP11-849H4.2	Horvath	3	0.000316693657175233	0.000513454824872372	0	3	268
TRIM39, TRIM39-RPP21	Horvath	3	0.000326675851562262	0.000211847697950983	0	3	269
BRF1	Horvath	3	0.000331395759682691	0.000331052106323475	0	3	270
RNF213, CTD-2047H16.4	Horvath	3	0.000333586919561598	0.000298675713671204	0	3	271
HRH2	Horvath	3	0.000334847061509114	0.000384297719700882	0	3	272
ZNF251	Horvath	3	0.000360018836046515	0.000494508009859356	0	3	273
PGBD5	Horvath	3	0.000389958033418551	0.000455421311683828	0	3	274
SLC38A10	Horvath	3	0.000417719667181437	0.000410225698281106	0	3	275
SYNJ2	Horvath	3	0.000426148494778716	0.000351395887185174	0	3	276
CHD5	Horvath	3	0.000430598971127435	0.00031054444463574	1	2	277
GALNT2	Horvath	3	0.000433892767042255	0.000421458088811709	0	3	278
COL1A1	Horvath	3	0.000443794345755826	0.0005320401768078	1	2	279
TMEM175	Horvath	3	0.000449311548866662	0.000254294161561745	0	3	280
TP53AIP1	Horvath	3	0.000451802161648887	0.000471565873139273	0	3	281
BRSK2	Horvath	3	0.000457198651138876	0.000327884756653691	0	3	282
ENOX1	Horvath	3	0.000478569850992406	0.000436365339212755	0	3	283
MSRA	Horvath	3	0.000479596706212184	0.00031789272479268	0	3	284
NFIC	Horvath	3	0.000481361291301045	0.000320018810398281	0	3	285
PPT2, PPT2-EGFL8	Horvath	3	0.000487373997174975	0.000245280348285334	0	3	286
SNX29	Horvath	3	0.000500564048501332	0.000312273921742329	0	3	287
PTPRE	Horvath	3	0.000506162608528391	0.000548942691700759	1	2	288
GNG7	Horvath	3	0.000506246101919237	0.000425831685415596	0	3	289
NRXN3	Horvath	3	0.000511768393475078	0.000576229839255524	0	3	290
AJAP1	Horvath	3	0.000516286225246105	0.000337060082702007	0	3	291
MUC2	Horvath	3	0.000523796830676789	0.000157827078386187	1	2	292
ESR1	Horvath	3	0.000556801305625288	0.000364124916958432	0	3	293
PPP2R2D	Horvath	3	0.000564046726700204	0.000344987021490068	0	3	294
