from	to
AGT	ASAH2
AGT	ATP6V1F
AGXT	ADH4
AGXT	BLMH
AGXT	ACY1
AGXT	AKR1C4
AGXT	AKR1B1
AGXT	CD36
AGXT	CA13
AGXT	ANXA3
AGXT	ADH1B
AGXT	ATOX1
AGXT	ANXA10
AGXT	ATP1B2
AGXT	ASS1
AGXT	ARG1
AGXT	CDKN2D
AHCY	AKR1B10
AHCY	ADH1B
AHCY	ANXA3
AHCY	ANXA5
AHCY	ARG1
AHCY	CA3
AHCY	AKR1B1
AHCY	BLMH
AHCY	AAMDC
AHCY	ADH4
AHCY	ANXA1
AHCY	CA13
AHCY	BHMT2
AHCY	GSTT2B
AHCY	ACTA2
AHNAK	CD177
AHNAK	C7orf50
AHNAK	BRAP
AHNAK	BRAP
AHNAK	ANP32C
AHNAK	AHNAK2
AHNAK	CEACAM20
AHNAK	CALB2
AHNAK	BTNL10
AHNAK	ABRAXAS2
AHNAK	CALY
